2493	500.00
20030	220.00
20101	220.00
20102	220.00
20103	220.00
20104	220.00
20105	220.00
20106	220.00
20107	220.00
20108	220.00
20109	220.00
20114	90.00
20244	130.00
20245	130.00
20246	160.00
20247	160.00
20248	160.00
20249	160.00
20252	160.00
20250	140.00
20251	140.00
20254	90.00
20255	90.00
20257	80.00
20258	80.00
20259	90.00
20260	90.00
20261	90.00
20262	90.00
20263	100.00
20264	100.00
20265	100.00
20266	100.00
20267	100.00
20268	100.00
20269	100.00
20270	100.00
30000	150.00
30001	150.00
30002	150.00
30003	150.00
30004	150.00
30005	150.00
30006	150.00
30007	150.00
20278	40.00
20279	40.00
34053	110.00
34054	110.00
34036	260.00
34037	260.00
20298	120.00
20299	140.00



